state_name,YYYY-MM,TotalCasesStudents
Arkansas,2020-10,3794
Arkansas,2020-11,5312
Arkansas,2020-12,6698
Arkansas,2021-01,7051
Arkansas,2021-02,3286
Arkansas,2021-03,185
Arkansas,2021-04,917
Arkansas,2021-05,530
Colorado,2020-10,32
Colorado,2020-11,83
Colorado,2020-12,632
Colorado,2021-01,207
Colorado,2021-02,198
Colorado,2021-03,507
Colorado,2021-04,336
Colorado,2021-05,1096
Colorado,2021-06,2120
Colorado,2021-07,190
Delaware,2021-02,605
Delaware,2021-03,149
Delaware,2021-04,234
Delaware,2021-05,132
Delaware,2021-06,25
Kansas,2020-11,287
Kansas,2020-12,105
Kansas,2021-01,19
Kansas,2021-02,6
Kansas,2021-03,7
Kansas,2021-04,11
Kansas,2021-05,23
Kentucky,2020-10,449
Kentucky,2020-11,2021
Kentucky,2020-12,1753
Louisiana,2020-10,1724
Louisiana,2020-11,2996
Louisiana,2020-12,4092
Louisiana,2021-01,4439
Louisiana,2021-02,4391
Louisiana,2021-03,1583
Louisiana,2021-04,755
Louisiana,2021-05,1265
Massachusetts,2020-09,58
Massachusetts,2020-10,511
Massachusetts,2020-11,976
Massachusetts,2020-12,1848
Massachusetts,2021-01,1766
Massachusetts,2021-02,1376
Massachusetts,2021-03,2637
Massachusetts,2021-04,2607
Massachusetts,2021-05,1759
Massachusetts,2021-06,251
Ohio,2020-10,3542
Ohio,2020-11,8000
Ohio,2020-12,7112
Ohio,2021-01,10531
Ohio,2021-02,5456
Ohio,2021-03,3076
Ohio,2021-04,4122
Ohio,2021-05,3651
Ohio,2021-06,107
Washington DC,2020-11,0
Washington DC,2020-12,12
Washington DC,2021-01,15
Washington DC,2021-02,29
Washington DC,2021-03,41
Washington DC,2021-04,38
Washington DC,2021-05,32
Washington DC,2021-06,10
