StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,11/18/2020,11/20/2020,,0,4,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,11/23/2020,12/4/2020,,1,6,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,12/7/2020,12/18/2020,,11,15,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,12/21/2020,1/1/2021,,3,23,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,1/4/2021,1/15/2021,,6,28,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,1/19/2021,1/29/2021,,6,20,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,2/1/2021,2/12/2021,,11,15,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,2/15/2021,2/26/2021,,18,10,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,3/1/2021,3/12/2021,,29,13,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,3/15/2021,3/26/2021,,12,15,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,3/29/2021,4/9/2021,,17,26,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,4/12/2021,4/23/2021,,21,19,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,4/26/2021,5/7/2021,,16,16,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,5/10/2021,5/21/2021,,16,7,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,5/24/2021,6/4/2021,,8,5,,,,,,,,,,,,
Washington DC,DC,District,No,,,,District of Columbia Public Schools,Regular local school district,1100030,,Biweekly,6/7/2021,6/18/2021,,2,3,,,,,,,,,,,,
